Scheme Code,ISIN
119160,INF277K01QZ7
118277,INF760K01EG8
118534,INF090I01FL1
153909,INF0R8701350
108403,INF044D01740
153738,INF226401018
111936,INF754K01012
100378,INF204K01372
110604,INF761K01058
119619,INF209K01Q22
119077,INF740K01PJ0
118423,INF194K01W70
154227,INF0S5R01174
148471,INF955L01JR8
120843,INF966L01911
152071,INF03VN01803
153610,INF0QA701BL6
103360,INF090I01569
125351,INF846K01K43
149450,INF0K1H01024
150442,INF966L01AX2
119556,INF209K01WN4
152308,INF740KA1UA5
154041,INF2JJD01169
113222,INF760K01AS1
119353,INF955L01AE5
150401,INF194KB1DK0
113177,INF204K01HY3
149763,INF205KA1494
145109,INF846K01J53
152135,INF0R8701046
101635,INF740K01243
151897,INF0QA701409
153238,INF0K1H01263
152406,INF0QA701730
119018,INF179K01YV8
141927,INF846K01B51
152006,INF397L01JT9
151130,INF917K01QA1
145206,INF277K011O1
150568,INF903JA1LB8
142110,INF174V01507
120165,INF174K01LQ6
141247,INF582M01CQ5
147917,INF00XX01754
154211,INF0GCD01883
119202,INF277K01MK8
151797,INF579M01AQ5
119774,INF174K01LU8
154307,INF22M001176
151133,INF917K01QC7
120030,INF336L01CM7
119718,INF200K01UG1
111935,INF754K01087
118479,INF194K01Z44
118533,INF090I01FH9
101530,INF200K01289
118617,INF754K01BW4
130498,INF179KA1RQ7
116548,INF666M01188
105504,INF205K01BD7
101762,INF179K01608
141950,INF761K01DS3
120380,INF109K019M2
153533,INF0K1H01289
151379,INF00XX01CO7
133709,INF767K01ND1
150661,INF767K01RH3
100375,INF204K01299
120403,INF205K01MV6
151289,INF336L01QQ8
118835,INF769K01BJ9
116547,INF666M01162
111939,INF754K01095
140812,INF666M01CU8
118269,INF760K01FR2
149302,INF194KB1CJ4
140172,INF843K01047
149101,INF174V01AP8
152130,INF251K01SO2
150185,INF251K01894
145137,INF205K013T3
143793,INF959L01DT9
152131,INF251K01SP9
150800,INF03VN01670
147946,INF194KB1AL4
145677,INF761K01ER3
153534,INF0K1H01271
147944,INF194KB1AJ8
100312,INF767K01063
102874,INF174K01237
151811,INF769K01KL6
119588,INF903J01NI3
150660,INF767K01RL5
145110,INF846K01J46
152940,INF0GCD01776
153239,INF0K1H01255
153197,INF769K01NL0
120662,INF789F01TC4
154104,INF666M01NK6
133712,INF767K01NA7
120585,INF109K014L5
103233,INF174K01203
103504,INF200K01180
152408,INF0QA701763
154210,INF0GCD01875
150814,INF192K01MW4
119566,INF903J01PR9
153873,INF2F0001057
107578,INF769K01010
103216,INF200K01230
120185,INF109K01Z55
120664,INF789F01UE8
100795,INF903J01470
146127,INF760K01JF9
108800,INF194K01490
153739,INF226401026
120823,INF966L01614
118424,INF194K01W62
152823,INF00XX01DB2
118270,INF760K01FP6
125354,INF846K01K35
111940,INF754K01046
111938,INF754K01053
120045,INF336L01DF9
119212,INF740K01QD1
153871,INF2F0001024
143792,INF959L01DU7
125497,INF200K01T51
119715,INF200K01TN9
145140,INF205K010T9
101706,INF109K01FK7
100794,INF903J01454
133836,INF663L01FJ3
141224,INF174V01317
152943,INF0R8701236
152138,INF0R8701053
120393,INF205K01KZ1
152094,INF754K01SD8
118870,INF044D01BX3
148475,INF955L01JV0
153327,INF0R8701293
153543,INF1MIY01031
103361,INF090I01544
110608,INF761K01025
150585,INF03VN01571
147478,INF769K01EZ9
152382,INF663L01Y12
134959,INF192K01JH1
119293,INF582M01658
148407,INF761K01FH1
147749,INF582M01GG7
140173,INF843K01054
141928,INF846K01B36
119071,INF740K01PX1
103165,INF209K01AQ3
154270,INF2F0001545
149089,INF204KC1097
111640,INF044D01955
129049,INF247L01494
130503,INF179KA1RW5
151810,INF769K01KK8
153870,INF2F0001016
145111,INF846K01J87
150347,INF03VN01506
152651,INF247L01CL8
151131,INF917K01QB9
120263,INF767K01EF5
105503,INF205K01BC9
120870,INF109K013M5
141223,INF174V01366
118678,INF204K01F20
141248,INF582M01CU7
100313,INF767K01071
149305,INF194KB1CI6
144548,INF277K019K2
120490,INF192K01BZ0
102328,INF277K01626
140175,INF843K01AL0
147918,INF00XX01721
118462,INF090I01FO5
100219,INF192K01601
154115,INF0K1H01321
104513,INF966L01341
153306,INF0QA701AW5
152309,INF740KA1UD9
152405,INF0QA701771
144316,INF761K01EM4
150346,INF03VN01530
147919,INF00XX01747
152582,INF0GCD01719
130497,INF179KA1RU9
140809,INF666M01CM5
120153,INF174K01KY2
143787,INF959L01EE9
100472,INF090I01726
115290,INF582M01120
152585,INF0GCD01750
144902,INF680P01075
147480,INF769K01EX4
118955,INF179K01UT0
152000,INF397L01JL6
150858,INF582M01IO7
125307,INF663L01DV3
150569,INF903JA1LC6
149304,INF194KB1CM8
149886,INF200KA15E8
117620,INF109K01E35
146770,INF336L01NW3
122640,INF879O01019
101538,INF903J01181
152353,INF247L01CC7
149187,INF174KA1HW1
119721,INF200K01UJ5
